order_id,customer_id,category,order_amount,delivery_delay_days,is_cod,customer_past_return_rate,product_weight_g,installments,is_returned
ORD_104635,CUST_1374,Apparel,471.97,2,1,0.1271,1222.1,1,0
ORD_100729,CUST_4017,Apparel,2214.32,1,1,0.172,1671.2,1,0
ORD_114064,CUST_4890,Footwear,338.96,2,0,0.2456,646.0,1,0
ORD_112488,CUST_4057,Footwear,616.26,1,1,0.143,1335.7,1,1
ORD_108969,CUST_4778,Footwear,1746.66,0,1,0.0978,2993.2,1,0
ORD_106767,CUST_3886,Footwear,778.1,0,1,0.2115,3371.2,1,0
ORD_109349,CUST_4605,Home & Kitchen,648.59,2,0,0.4611,1093.3,1,0
ORD_104266,CUST_4373,Beauty,610.57,0,0,0.182,672.3,6,0
ORD_103915,CUST_4253,Apparel,1865.1,2,0,0.0784,2388.3,1,0
ORD_113575,CUST_1762,Footwear,3218.83,0,0,0.1229,460.9,1,0
ORD_103364,CUST_1399,Beauty,645.56,3,1,0.2599,2160.8,1,1
ORD_100776,CUST_2296,Beauty,1865.11,2,0,0.2945,748.7,1,1
ORD_111910,CUST_3990,Electronics,564.25,0,1,0.1314,3118.7,1,0
ORD_103758,CUST_3320,Footwear,2324.0,0,1,0.3474,3000.2,12,0
ORD_100064,CUST_3214,Electronics,1608.03,0,1,0.19,3170.9,1,0
ORD_106821,CUST_1639,Footwear,521.29,0,1,0.3081,225.3,1,0
ORD_114164,CUST_4353,Footwear,2327.55,2,1,0.2406,1682.9,1,1
ORD_104543,CUST_1519,Apparel,1129.66,0,0,0.5251,2517.7,2,0
ORD_110222,CUST_4161,Apparel,819.85,3,0,0.2766,2380.4,1,0
ORD_103296,CUST_4507,Electronics,1385.18,4,1,0.2019,1836.1,1,0
ORD_101030,CUST_1475,Apparel,406.55,4,0,0.0824,785.8,1,1
ORD_107067,CUST_2791,Footwear,3069.19,1,1,0.1738,725.5,6,0
ORD_113641,CUST_2816,Apparel,1099.28,0,0,0.0203,2793.4,1,0
ORD_105100,CUST_3987,Home & Kitchen,1329.33,1,1,0.0386,842.3,1,0
ORD_107400,CUST_4308,Apparel,914.31,0,0,0.1652,3158.6,2,0
ORD_102058,CUST_4110,Electronics,1163.1,0,0,0.2499,2758.7,1,0
ORD_102742,CUST_3352,Apparel,3086.58,2,1,0.1902,1494.3,1,0
ORD_113294,CUST_2833,Apparel,846.52,3,1,0.1916,807.0,1,0
ORD_112878,CUST_4906,Footwear,1122.47,2,1,0.1845,1697.4,1,0
ORD_109912,CUST_2074,Apparel,1138.38,4,1,0.2803,415.3,6,1
ORD_102920,CUST_2026,Apparel,692.6,0,0,0.163,2116.0,1,1
ORD_111167,CUST_2823,Home & Kitchen,883.82,0,1,0.3425,2252.4,1,0
ORD_114545,CUST_2754,Electronics,2814.41,1,0,0.6506,1408.8,6,1
ORD_104687,CUST_3442,Apparel,1859.43,0,1,0.2547,2101.6,1,1
ORD_103219,CUST_1480,Apparel,2739.13,5,1,0.424,2207.4,1,1
ORD_101417,CUST_1872,Home & Kitchen,2021.63,1,1,0.0831,223.0,2,0
ORD_103883,CUST_4384,Apparel,958.03,3,0,0.1638,2671.0,2,0
ORD_107393,CUST_4783,Apparel,483.77,3,0,0.2195,2065.3,1,0
ORD_102012,CUST_2182,Beauty,679.87,0,0,0.2766,2739.0,1,0
ORD_104186,CUST_4448,Home & Kitchen,2247.54,2,0,0.25,1570.4,1,1
ORD_108576,CUST_3020,Apparel,1225.09,0,1,0.1398,3264.5,1,1
ORD_110548,CUST_2978,Electronics,815.3,1,1,0.0755,582.7,1,0
ORD_111393,CUST_4638,Footwear,1129.64,0,0,0.2403,2838.1,1,0
ORD_101138,CUST_3173,Electronics,802.8,1,0,0.314,1797.1,1,0
ORD_104521,CUST_4629,Electronics,1739.51,3,0,0.1865,3467.2,6,1
ORD_101399,CUST_1235,Home & Kitchen,658.43,1,0,0.485,3140.7,1,1
ORD_110678,CUST_1309,Apparel,377.8,0,1,0.138,2442.8,1,1
ORD_105519,CUST_3503,Footwear,1322.47,0,0,0.2372,3321.3,1,1
ORD_101144,CUST_1760,Apparel,2881.27,2,1,0.0899,366.1,3,0
ORD_102108,CUST_4451,Apparel,1007.99,2,1,0.1932,388.6,1,1
ORD_108344,CUST_4793,Apparel,1496.57,1,0,0.447,2733.7,1,1
ORD_107152,CUST_3675,Footwear,755.31,0,1,0.1192,383.2,3,0
ORD_106233,CUST_1566,Apparel,338.68,2,1,0.1457,2499.4,1,0
ORD_112976,CUST_3462,Electronics,1068.64,3,0,0.3089,2495.0,1,0
ORD_112376,CUST_1629,Electronics,534.38,1,0,0.1443,244.0,1,0
ORD_104303,CUST_1280,Apparel,706.95,2,1,0.0777,2665.0,3,0
ORD_100151,CUST_3336,Apparel,1912.78,1,0,0.116,2395.3,12,0
ORD_101766,CUST_1513,Footwear,541.35,0,1,0.2941,3194.2,12,0
ORD_114124,CUST_2648,Footwear,1098.09,0,1,0.0676,2536.0,1,0
ORD_112806,CUST_4778,Home & Kitchen,684.07,7,1,0.1737,3216.4,1,0
ORD_103255,CUST_2452,Home & Kitchen,1421.61,1,1,0.0518,1521.8,3,0
ORD_101715,CUST_3806,Electronics,430.44,4,0,0.0342,1470.0,1,0
ORD_104774,CUST_4634,Apparel,2396.6,0,1,0.2515,920.1,1,0
ORD_112785,CUST_1164,Apparel,2029.5,2,0,0.1651,2669.3,1,0
ORD_102025,CUST_4030,Home & Kitchen,1971.28,0,1,0.0467,3377.6,1,0
ORD_114749,CUST_1386,Electronics,607.58,0,0,0.2171,1279.7,3,0
ORD_109048,CUST_2098,Apparel,970.03,1,1,0.3131,1177.6,1,0
ORD_100717,CUST_4373,Electronics,683.33,0,1,0.3314,2218.7,2,0
ORD_109171,CUST_2500,Footwear,1601.93,1,0,0.1699,566.2,1,1
ORD_107332,CUST_2494,Apparel,985.13,2,1,0.154,2426.7,1,0
ORD_106333,CUST_3242,Beauty,2352.85,0,0,0.1266,2184.1,1,0
ORD_110494,CUST_2302,Apparel,1177.0,0,0,0.1709,1549.5,3,0
ORD_109393,CUST_2972,Electronics,621.94,1,1,0.3305,2657.2,1,0
ORD_114363,CUST_2818,Electronics,3633.18,2,1,0.1777,1109.7,12,1
ORD_112201,CUST_1402,Apparel,597.11,0,1,0.2829,3383.5,1,0
ORD_103533,CUST_3037,Electronics,1010.12,0,1,0.0346,2020.5,1,0
ORD_102461,CUST_1583,Electronics,2818.42,2,1,0.3292,1486.6,2,0
ORD_106741,CUST_1287,Apparel,786.04,7,0,0.284,261.7,2,1
ORD_114372,CUST_4960,Home & Kitchen,363.73,0,1,0.2828,3025.9,1,1
ORD_114493,CUST_4138,Footwear,1844.36,0,0,0.0226,2030.0,3,1
ORD_113237,CUST_4541,Electronics,978.51,10,1,0.4111,2552.8,1,1
ORD_109766,CUST_1523,Apparel,3267.78,1,0,0.0915,1975.0,1,1
ORD_113858,CUST_3624,Footwear,1133.3,1,1,0.0753,2913.1,6,0
ORD_114352,CUST_1492,Apparel,520.58,1,1,0.2433,1496.3,3,0
ORD_114442,CUST_3438,Home & Kitchen,1509.51,3,1,0.1431,3119.2,12,0
ORD_114359,CUST_1116,Apparel,2536.33,0,0,0.2875,3423.2,1,0
ORD_102242,CUST_3863,Apparel,5288.2,1,0,0.0827,1112.8,1,0
ORD_102289,CUST_3913,Apparel,659.31,0,1,0.3517,652.2,1,0
ORD_108089,CUST_4052,Electronics,629.85,1,1,0.0315,3455.7,2,0
ORD_105056,CUST_2011,Apparel,2117.23,0,0,0.0457,3432.3,2,0
ORD_114627,CUST_4041,Apparel,489.92,1,1,0.0771,3116.6,1,0
